VERTEX = 756
5.9 226.0 1.0
5.6 226.0 2.1
5.2 226.0 3.0
4.6 226.0 3.9
3.9 226.0 4.6
3.0 226.0 5.2
2.1 226.0 5.6
1.0 226.0 5.9
0.0 226.0 6.0
-1.0 226.0 5.9
-2.1 226.0 5.6
-3.0 226.0 5.2
-3.9 226.0 4.6
-4.6 226.0 3.9
-5.2 226.0 3.0
-5.6 226.0 2.1
-5.9 226.0 1.0
-6.0 226.0 0.0
-5.9 226.0 -1.0
-5.6 226.0 -2.1
-5.2 226.0 -3.0
-4.6 226.0 -3.9
-3.9 226.0 -4.6
-3.0 226.0 -5.2
-2.1 226.0 -5.6
-1.0 226.0 -5.9
-0.0 226.0 -6.0
1.0 226.0 -5.9
2.1 226.0 -5.6
3.0 226.0 -5.2
3.9 226.0 -4.6
4.6 226.0 -3.9
5.2 226.0 -3.0
5.6 226.0 -2.1
5.9 226.0 -1.0
6.0 226.0 -0.0
14.8 216.0 2.6
14.1 216.0 5.1
13.0 216.0 7.5
11.5 216.0 9.6
9.6 216.0 11.5
7.5 216.0 13.0
5.1 216.0 14.1
2.6 216.0 14.8
0.0 216.0 15.0
-2.6 216.0 14.8
-5.1 216.0 14.1
-7.5 216.0 13.0
-9.6 216.0 11.5
-11.5 216.0 9.6
-13.0 216.0 7.5
-14.1 216.0 5.1
-14.8 216.0 2.6
-15.0 216.0 0.0
-14.8 216.0 -2.6
-14.1 216.0 -5.1
-13.0 216.0 -7.5
-11.5 216.0 -9.6
-9.6 216.0 -11.5
-7.5 216.0 -13.0
-5.1 216.0 -14.1
-2.6 216.0 -14.8
-0.0 216.0 -15.0
2.6 216.0 -14.8
5.1 216.0 -14.1
7.5 216.0 -13.0
9.6 216.0 -11.5
11.5 216.0 -9.6
13.0 216.0 -7.5
14.1 216.0 -5.1
14.8 216.0 -2.6
15.0 216.0 -0.0
4.9 206.0 0.9
4.7 206.0 1.7
4.3 206.0 2.5
3.8 206.0 3.2
3.2 206.0 3.8
2.5 206.0 4.3
1.7 206.0 4.7
0.9 206.0 4.9
0.0 206.0 5.0
-0.9 206.0 4.9
-1.7 206.0 4.7
-2.5 206.0 4.3
-3.2 206.0 3.8
-3.8 206.0 3.2
-4.3 206.0 2.5
-4.7 206.0 1.7
-4.9 206.0 0.9
-5.0 206.0 0.0
-4.9 206.0 -0.9
-4.7 206.0 -1.7
-4.3 206.0 -2.5
-3.8 206.0 -3.2
-3.2 206.0 -3.8
-2.5 206.0 -4.3
-1.7 206.0 -4.7
-0.9 206.0 -4.9
-0.0 206.0 -5.0
0.9 206.0 -4.9
1.7 206.0 -4.7
2.5 206.0 -4.3
3.2 206.0 -3.8
3.8 206.0 -3.2
4.3 206.0 -2.5
4.7 206.0 -1.7
4.9 206.0 -0.9
5.0 206.0 -0.0
63.0 204.0 11.1
60.1 204.0 21.9
55.4 204.0 32.0
49.0 204.0 41.1
41.1 204.0 49.0
32.0 204.0 55.4
21.9 204.0 60.1
11.1 204.0 63.0
0.0 204.0 64.0
-11.1 204.0 63.0
-21.9 204.0 60.1
-32.0 204.0 55.4
-41.1 204.0 49.0
-49.0 204.0 41.1
-55.4 204.0 32.0
-60.1 204.0 21.9
-63.0 204.0 11.1
-64.0 204.0 0.0
-63.0 204.0 -11.1
-60.1 204.0 -21.9
-55.4 204.0 -32.0
-49.0 204.0 -41.1
-41.1 204.0 -49.0
-32.0 204.0 -55.4
-21.9 204.0 -60.1
-11.1 204.0 -63.0
-0.0 204.0 -64.0
11.1 204.0 -63.0
21.9 204.0 -60.1
32.0 204.0 -55.4
41.1 204.0 -49.0
49.0 204.0 -41.1
55.4 204.0 -32.0
60.1 204.0 -21.9
63.0 204.0 -11.1
64.0 204.0 -0.0
46.3 181.0 8.2
44.2 181.0 16.1
40.7 181.0 23.5
36.0 181.0 30.2
30.2 181.0 36.0
23.5 181.0 40.7
16.1 181.0 44.2
8.2 181.0 46.3
0.0 181.0 47.0
-8.2 181.0 46.3
-16.1 181.0 44.2
-23.5 181.0 40.7
-30.2 181.0 36.0
-36.0 181.0 30.2
-40.7 181.0 23.5
-44.2 181.0 16.1
-46.3 181.0 8.2
-47.0 181.0 0.0
-46.3 181.0 -8.2
-44.2 181.0 -16.1
-40.7 181.0 -23.5
-36.0 181.0 -30.2
-30.2 181.0 -36.0
-23.5 181.0 -40.7
-16.1 181.0 -44.2
-8.2 181.0 -46.3
-0.0 181.0 -47.0
8.2 181.0 -46.3
16.1 181.0 -44.2
23.5 181.0 -40.7
30.2 181.0 -36.0
36.0 181.0 -30.2
40.7 181.0 -23.5
44.2 181.0 -16.1
46.3 181.0 -8.2
47.0 181.0 -0.0
41.4 130.0 7.3
39.5 130.0 14.4
36.4 130.0 21.0
32.2 130.0 27.0
27.0 130.0 32.2
21.0 130.0 36.4
14.4 130.0 39.5
7.3 130.0 41.4
0.0 130.0 42.0
-7.3 130.0 41.4
-14.4 130.0 39.5
-21.0 130.0 36.4
-27.0 130.0 32.2
-32.2 130.0 27.0
-36.4 130.0 21.0
-39.5 130.0 14.4
-41.4 130.0 7.3
-42.0 130.0 0.0
-41.4 130.0 -7.3
-39.5 130.0 -14.4
-36.4 130.0 -21.0
-32.2 130.0 -27.0
-27.0 130.0 -32.2
-21.0 130.0 -36.4
-14.4 130.0 -39.5
-7.3 130.0 -41.4
-0.0 130.0 -42.0
7.3 130.0 -41.4
14.4 130.0 -39.5
21.0 130.0 -36.4
27.0 130.0 -32.2
32.2 130.0 -27.0
36.4 130.0 -21.0
39.5 130.0 -14.4
41.4 130.0 -7.3
42.0 130.0 -0.0
53.2 115.0 9.4
50.7 115.0 18.5
46.8 115.0 27.0
41.4 115.0 34.7
34.7 115.0 41.4
27.0 115.0 46.8
18.5 115.0 50.7
9.4 115.0 53.2
0.0 115.0 54.0
-9.4 115.0 53.2
-18.5 115.0 50.7
-27.0 115.0 46.8
-34.7 115.0 41.4
-41.4 115.0 34.7
-46.8 115.0 27.0
-50.7 115.0 18.5
-53.2 115.0 9.4
-54.0 115.0 0.0
-53.2 115.0 -9.4
-50.7 115.0 -18.5
-46.8 115.0 -27.0
-41.4 115.0 -34.7
-34.7 115.0 -41.4
-27.0 115.0 -46.8
-18.5 115.0 -50.7
-9.4 115.0 -53.2
-0.0 115.0 -54.0
9.4 115.0 -53.2
18.5 115.0 -50.7
27.0 115.0 -46.8
34.7 115.0 -41.4
41.4 115.0 -34.7
46.8 115.0 -27.0
50.7 115.0 -18.5
53.2 115.0 -9.4
54.0 115.0 -0.0
42.3 108.0 7.5
40.4 108.0 14.7
37.2 108.0 21.5
32.9 108.0 27.6
27.6 108.0 32.9
21.5 108.0 37.2
14.7 108.0 40.4
7.5 108.0 42.3
0.0 108.0 43.0
-7.5 108.0 42.3
-14.7 108.0 40.4
-21.5 108.0 37.2
-27.6 108.0 32.9
-32.9 108.0 27.6
-37.2 108.0 21.5
-40.4 108.0 14.7
-42.3 108.0 7.5
-43.0 108.0 0.0
-42.3 108.0 -7.5
-40.4 108.0 -14.7
-37.2 108.0 -21.5
-32.9 108.0 -27.6
-27.6 108.0 -32.9
-21.5 108.0 -37.2
-14.7 108.0 -40.4
-7.5 108.0 -42.3
-0.0 108.0 -43.0
7.5 108.0 -42.3
14.7 108.0 -40.4
21.5 108.0 -37.2
27.6 108.0 -32.9
32.9 108.0 -27.6
37.2 108.0 -21.5
40.4 108.0 -14.7
42.3 108.0 -7.5
43.0 108.0 -0.0
42.3 82.0 7.5
40.4 82.0 14.7
37.2 82.0 21.5
32.9 82.0 27.6
27.6 82.0 32.9
21.5 82.0 37.2
14.7 82.0 40.4
7.5 82.0 42.3
0.0 82.0 43.0
-7.5 82.0 42.3
-14.7 82.0 40.4
-21.5 82.0 37.2
-27.6 82.0 32.9
-32.9 82.0 27.6
-37.2 82.0 21.5
-40.4 82.0 14.7
-42.3 82.0 7.5
-43.0 82.0 0.0
-42.3 82.0 -7.5
-40.4 82.0 -14.7
-37.2 82.0 -21.5
-32.9 82.0 -27.6
-27.6 82.0 -32.9
-21.5 82.0 -37.2
-14.7 82.0 -40.4
-7.5 82.0 -42.3
-0.0 82.0 -43.0
7.5 82.0 -42.3
14.7 82.0 -40.4
21.5 82.0 -37.2
27.6 82.0 -32.9
32.9 82.0 -27.6
37.2 82.0 -21.5
40.4 82.0 -14.7
42.3 82.0 -7.5
43.0 82.0 -0.0
55.1 75.0 9.7
52.6 75.0 19.2
48.5 75.0 28.0
42.9 75.0 36.0
36.0 75.0 42.9
28.0 75.0 48.5
19.2 75.0 52.6
9.7 75.0 55.1
0.0 75.0 56.0
-9.7 75.0 55.1
-19.2 75.0 52.6
-28.0 75.0 48.5
-36.0 75.0 42.9
-42.9 75.0 36.0
-48.5 75.0 28.0
-52.6 75.0 19.2
-55.1 75.0 9.7
-56.0 75.0 0.0
-55.1 75.0 -9.7
-52.6 75.0 -19.2
-48.5 75.0 -28.0
-42.9 75.0 -36.0
-36.0 75.0 -42.9
-28.0 75.0 -48.5
-19.2 75.0 -52.6
-9.7 75.0 -55.1
-0.0 75.0 -56.0
9.7 75.0 -55.1
19.2 75.0 -52.6
28.0 75.0 -48.5
36.0 75.0 -42.9
42.9 75.0 -36.0
48.5 75.0 -28.0
52.6 75.0 -19.2
55.1 75.0 -9.7
56.0 75.0 -0.0
42.3 64.0 7.5
40.4 64.0 14.7
37.2 64.0 21.5
32.9 64.0 27.6
27.6 64.0 32.9
21.5 64.0 37.2
14.7 64.0 40.4
7.5 64.0 42.3
0.0 64.0 43.0
-7.5 64.0 42.3
-14.7 64.0 40.4
-21.5 64.0 37.2
-27.6 64.0 32.9
-32.9 64.0 27.6
-37.2 64.0 21.5
-40.4 64.0 14.7
-42.3 64.0 7.5
-43.0 64.0 0.0
-42.3 64.0 -7.5
-40.4 64.0 -14.7
-37.2 64.0 -21.5
-32.9 64.0 -27.6
-27.6 64.0 -32.9
-21.5 64.0 -37.2
-14.7 64.0 -40.4
-7.5 64.0 -42.3
-0.0 64.0 -43.0
7.5 64.0 -42.3
14.7 64.0 -40.4
21.5 64.0 -37.2
27.6 64.0 -32.9
32.9 64.0 -27.6
37.2 64.0 -21.5
40.4 64.0 -14.7
42.3 64.0 -7.5
43.0 64.0 -0.0
72.9 49.0 12.8
69.5 49.0 25.3
64.1 49.0 37.0
56.7 49.0 47.6
47.6 49.0 56.7
